config	seed	checkpoint	blimp_task	accuracy	hidden_size	layers	config_short	num_params
layers_2_hs_192_heads_12_cl_256	0	5	determiner_noun_agreement	0.903871652081676	192	2	2*192	1185024
layers_2_hs_192_heads_12_cl_256	0	5	ellipsis	0.6495381062355658	192	2	2*192	1185024
layers_2_hs_192_heads_12_cl_256	0	5	filler_gap	0.6638655462184874	192	2	2*192	1185024
layers_2_hs_192_heads_12_cl_256	0	5	irregular_forms	0.9221374045801527	192	2	2*192	1185024
layers_2_hs_192_heads_12_cl_256	0	5	island_effects	0.5358744394618834	192	2	2*192	1185024
layers_2_hs_192_heads_12_cl_256	0	5	npi_licensing	0.5701488004858791	192	2	2*192	1185024
layers_2_hs_192_heads_12_cl_256	0	5	quantifiers	0.7612055641421948	192	2	2*192	1185024
layers_2_hs_192_heads_12_cl_256	0	5	subject_verb_agreement	0.7062330623306233	192	2	2*192	1185024
layers_2_hs_192_heads_12_cl_256	0	5	hypernym	0.4848837209302326	192	2	2*192	1185024
layers_2_hs_192_heads_12_cl_256	0	5	qa_congruence_easy	0.53125	192	2	2*192	1185024
layers_2_hs_192_heads_12_cl_256	0	5	qa_congruence_tricky	0.3333333333333333	192	2	2*192	1185024
layers_2_hs_192_heads_12_cl_256	0	5	subject_aux_inversion	0.8077579897535985	192	2	2*192	1185024
layers_2_hs_192_heads_12_cl_256	0	5	turn_taking	0.6678571428571428	192	2	2*192	1185024
layers_2_hs_384_heads_12_cl_256	13	5	anaphor_agreement	0.9560327198364008	384	2	2*384	4139520
layers_2_hs_384_heads_12_cl_256	13	5	argument_structure	0.7661251212415131	384	2	2*384	4139520
layers_2_hs_384_heads_12_cl_256	13	5	binding	0.6642920747996438	384	2	2*384	4139520
layers_2_hs_384_heads_12_cl_256	13	5	control_raising	0.6871409633230225	384	2	2*384	4139520
layers_2_hs_384_heads_12_cl_256	13	5	determiner_noun_agreement	0.9093078758949881	384	2	2*384	4139520
layers_2_hs_384_heads_12_cl_256	13	5	ellipsis	0.6351039260969977	384	2	2*384	4139520
layers_2_hs_384_heads_12_cl_256	13	5	filler_gap	0.6730469965764083	384	2	2*384	4139520
